%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
1346,51.68,3.934,1.52,0.3,2.155,3.737,4.13,1.444,1.596,2.242,2.309,0.601
1346.5,51.71,4.298,1.526,0.3,2.155,4.083,4.513,1.45,1.602,2.386,2.313,0.56
1347,51.71,4.3,1.526,0.3,2.155,4.085,4.515,1.45,1.602,2.386,2.313,0.56
1347.5,51.75,4.154,1.524,0.3,2.155,3.946,4.361,1.447,1.6,2.329,2.312,0.576
1348,51.75,4.335,1.526,0.3,2.155,4.118,4.552,1.45,1.603,2.4,2.313,0.556
1348.5,51.77,5.168,1.537,0.3,2.155,4.91,5.427,1.46,1.613,2.714,2.321,0.468
1349,51.77,5.702,1.542,0.3,2.155,5.417,5.987,1.465,1.619,2.907,2.324,0.413
1349.5,51.8,5.409,1.539,0.3,2.155,5.138,5.679,1.462,1.616,2.802,2.322,0.443
1350,51.8,5.198,1.537,0.3,2.155,4.938,5.458,1.46,1.614,2.725,2.321,0.465
1350.5,51.83,6.605,1.549,0.3,2.155,6.275,6.935,1.471,1.626,3.223,2.329,0.491
1351,51.83,6.273,1.546,0.3,2.155,5.959,6.586,1.469,1.624,3.108,2.327,0.552
1351.5,51.87,5.978,1.544,0.3,2.155,5.679,6.277,1.467,1.621,3.005,2.326,0.607
1352,51.87,5.695,1.542,0.3,2.155,5.41,5.979,1.465,1.619,2.905,2.324,0.661
1352.5,51.89,4.794,1.532,0.3,2.155,4.555,5.034,1.456,1.609,2.575,2.318,0.837
1353,51.89,5.776,1.086,0.4,1.99,5.487,6.065,1.032,1.141,2.341,2.312,0.962
1353.5,51.91,5.515,1.084,0.4,1.99,5.24,5.791,1.029,1.138,2.277,2.31,0.996
1354,51.91,5.954,1.088,0.4,1.99,5.656,6.251,1.034,1.143,2.384,2.313,0.939
1354.5,51.94,5.949,1.088,0.4,1.99,5.652,6.247,1.034,1.143,2.383,2.313,0.939
1355,51.94,5.933,1.088,0.4,1.99,5.636,6.23,1.034,1.143,2.379,2.313,0.941
1355.5,51.98,5.87,1.087,0.4,1.99,5.576,6.163,1.033,1.142,2.364,2.312,0.95
1356,51.98,5.489,1.083,0.4,1.99,5.214,5.763,1.029,1.137,2.27,2.31,0.999
1356.5,52.03,5.1,1.078,0.4,1.99,4.845,5.355,1.024,1.132,2.173,2.307,1.052
1357,52.03,5.325,1.081,0.4,1.99,5.058,5.591,1.027,1.135,2.229,2.309,1.021
1357.5,52.04,5.4,1.082,0.4,1.99,5.13,5.67,1.028,1.136,2.248,2.309,1.011
1358,52.04,6.082,1.09,0.4,1.99,5.778,6.386,1.035,1.144,2.415,2.314,0.922
1358.5,52.09,7.161,1.099,0.4,1.99,6.803,7.519,1.044,1.154,2.663,2.32,0.79
1359,52.09,8.2,1.106,0.4,1.99,7.79,8.61,1.051,1.162,2.889,2.324,0.669
1359.5,52.16,8.041,1.105,0.4,1.99,7.639,8.443,1.05,1.161,2.855,2.323,0.687
1360,52.16,7.982,1.105,0.4,1.99,7.583,8.381,1.05,1.16,2.842,2.323,0.694
1360.5,52.19,7.713,1.103,0.4,1.99,7.328,8.099,1.048,1.158,2.785,2.322,0.725
1361,52.19,7.407,1.101,0.4,1.99,7.037,7.777,1.046,1.156,2.718,2.321,0.761
1361.5,52.24,7.882,1.104,0.4,1.99,7.488,8.276,1.049,1.16,2.821,2.323,0.705
1362,52.24,8.361,1.107,0.4,1.99,7.943,8.779,1.052,1.163,2.923,2.324,0.651
1362.5,52.26,7.972,1.105,0.4,1.99,7.573,8.37,1.05,1.16,2.84,2.323,0.695
1363,52.26,7.589,1.102,0.4,1.99,7.209,7.968,1.047,1.157,2.757,2.321,0.739
1363.5,52.32,7.402,1.101,0.4,1.99,7.032,7.772,1.046,1.156,2.717,2.321,0.761
1364,52.32,7.488,1.102,0.4,1.99,7.114,7.863,1.047,1.157,2.736,2.321,0.751
1364.5,52.35,7.517,1.102,0.4,1.99,7.141,7.893,1.047,1.157,2.742,2.321,0.748
1365,52.35,7.595,1.102,0.4,1.99,7.215,7.974,1.047,1.158,2.759,2.321,0.739
1365.5,52.38,7.939,1.105,0.4,1.99,7.542,8.336,1.049,1.16,2.833,2.323,0.699
1366,52.38,7.769,1.104,0.4,1.99,7.381,8.158,1.048,1.159,2.797,2.322,0.718
1366.5,52.42,7.615,1.103,0.4,1.99,7.234,7.996,1.047,1.158,2.763,2.322,0.736
1367,52.42,7.598,1.102,0.4,1.99,7.218,7.978,1.047,1.158,2.76,2.321,0.738
1367.5,52.47,7.498,1.102,0.4,1.99,7.123,7.873,1.047,1.157,2.738,2.321,0.75
1368,52.47,7.364,1.101,0.4,1.99,6.996,7.732,1.046,1.156,2.708,2.32,0.766
1368.5,52.51,7.32,1.1,0.4,1.99,6.954,7.686,1.045,1.155,2.698,2.32,0.771
1369,52.51,7.018,1.098,0.4,1.99,6.667,7.369,1.043,1.153,2.631,2.319,0.807
1369.5,52.55,6.722,1.096,0.4,1.99,6.386,7.058,1.041,1.15,2.564,2.317,0.843
1370,52.55,7.196,1.099,0.4,1.99,6.836,7.555,1.044,1.154,2.671,2.32,0.786
1370.5,52.58,7.082,1.099,0.4,1.99,6.728,7.436,1.044,1.153,2.645,2.319,0.799
1371,52.58,6.99,1.098,0.4,1.99,6.641,7.34,1.043,1.153,2.625,2.319,0.81
1371.5,52.62,7.443,1.101,0.4,1.99,7.071,7.815,1.046,1.156,2.726,2.321,0.756
1372,52.62,7.841,1.104,0.4,1.99,7.448,8.233,1.049,1.159,2.812,2.322,0.71
1372.5,52.65,7.4,1.101,0.4,1.99,7.03,7.77,1.046,1.156,2.716,2.321,0.761
1373,52.65,6.97,1.098,0.4,1.99,6.622,7.319,1.043,1.153,2.62,2.319,0.813
1373.5,52.71,6.574,1.094,0.4,1.99,6.245,6.903,1.04,1.149,2.53,2.317,0.861
1374,52.71,6.403,1.093,0.4,1.99,6.083,6.723,1.038,1.147,2.49,2.316,0.882
1374.5,52.76,6.234,1.091,0.4,1.99,5.922,6.545,1.037,1.146,2.451,2.315,0.903
1375,52.76,6.066,1.09,0.4,1.99,5.763,6.369,1.035,1.144,2.411,2.314,0.924
1375.5,52.81,6.167,1.091,0.4,1.99,5.858,6.475,1.036,1.145,2.435,2.314,0.912
1376,52.81,6.44,1.093,0.4,1.99,6.118,6.762,1.038,1.148,2.499,2.316,0.877
1376.5,52.83,6.718,1.096,0.4,1.99,6.382,7.054,1.041,1.15,2.563,2.317,0.843
1377,52.83,6.466,1.093,0.4,1.99,6.143,6.79,1.039,1.148,2.505,2.316,0.874
1377.5,52.87,6.158,1.09,0.4,1.99,5.85,6.466,1.036,1.145,2.433,2.314,0.913
1378,52.87,6.462,1.093,0.4,1.99,6.139,6.785,1.039,1.148,2.504,2.316,0.875
1378.5,52.93,6.809,1.096,0.4,1.99,6.468,7.149,1.042,1.151,2.584,2.318,0.832
1379,52.93,7.066,1.098,0.4,1.99,6.713,7.42,1.044,1.153,2.642,2.319,0.801
1379.5,52.97,7.364,1.101,0.4,1.99,6.995,7.732,1.046,1.156,2.708,2.32,0.766
1380,52.97,7.027,1.098,0.4,1.99,6.676,7.379,1.043,1.153,2.633,2.319,0.806
1380.5,52.99,6.556,1.094,0.4,1.99,6.228,6.884,1.039,1.149,2.526,2.316,0.863
1381,52.99,6.514,1.094,0.4,1.99,6.188,6.839,1.039,1.148,2.516,2.316,0.868
1381.5,53,6.493,1.094,0.4,1.99,6.169,6.818,1.039,1.148,2.511,2.316,0.871
1382,53,6.495,1.094,0.4,1.99,6.17,6.82,1.039,1.148,2.512,2.316,0.871
1382.5,53.07,5.719,1.086,0.4,1.99,5.433,6.005,1.032,1.14,2.327,2.312,0.969
1383,53.07,4.982,1.077,0.4,1.99,4.733,5.231,1.023,1.131,2.142,2.306,1.068
1383.5,53.08,4.474,1.069,0.4,1.99,4.251,4.698,1.016,1.123,2.008,2.302,1.139
1384,53.08,5.55,1.084,0.4,1.99,5.273,5.828,1.03,1.138,2.286,2.31,0.991
1384.5,53.13,6.717,1.096,0.4,1.99,6.381,7.053,1.041,1.15,2.563,2.317,0.843
1385,53.13,5.514,1.54,0.3,2.155,5.238,5.789,1.463,1.617,2.84,2.323,0.695
1385.5,53.17,5.561,1.54,0.3,2.155,5.283,5.84,1.463,1.617,2.857,2.323,0.686
1386,53.17,5.45,1.539,0.3,2.155,5.178,5.723,1.462,1.616,2.817,2.323,0.707
1386.5,53.2,5.672,1.541,0.3,2.155,5.388,5.956,1.464,1.619,2.897,2.324,0.665
1387,53.2,5.306,1.538,0.3,2.155,5.04,5.571,1.461,1.615,2.765,2.322,0.736
1387.5,53.19,4.881,1.533,0.3,2.155,4.637,5.125,1.457,1.61,2.608,2.318,0.819
1388,53.19,4.521,1.529,0.3,2.155,4.295,4.747,1.452,1.605,2.472,2.315,0.892
1388.5,53.22,4.578,1.53,0.3,2.155,4.349,4.807,1.453,1.606,2.493,2.316,0.88
1389,53.22,4.706,1.531,0.3,2.155,4.47,4.941,1.455,1.608,2.542,2.317,0.854
1389.5,53.26,5.02,1.535,0.3,2.155,4.769,5.271,1.458,1.612,2.659,2.319,0.792
1390,53.26,5.366,1.539,0.3,2.155,5.098,5.635,1.462,1.615,2.787,2.322,0.724
1390.5,53.27,5.131,1.536,0.3,2.155,4.875,5.388,1.459,1.613,2.701,2.32,0.77
1391,53.27,4.801,1.532,0.3,2.155,4.561,5.041,1.456,1.609,2.578,2.318,0.835
1391.5,53.3,4.864,1.533,0.3,2.155,4.62,5.107,1.456,1.61,2.601,2.318,0.823
1392,53.3,4.678,1.531,0.3,2.155,4.444,4.912,1.454,1.607,2.531,2.317,0.86
1392.5,53.33,4.373,1.527,0.3,2.155,4.154,4.591,1.451,1.603,2.415,2.314,0.922
1393,53.33,4.46,1.528,0.3,2.155,4.237,4.683,1.452,1.604,2.448,2.315,0.904
1393.5,53.35,4.944,1.534,0.3,2.155,4.697,5.191,1.457,1.611,2.631,2.319,0.807
1394,53.35,4.575,1.53,0.3,2.155,4.347,4.804,1.453,1.606,2.492,2.316,0.881
1394.5,53.37,4.427,1.528,0.3,2.155,4.205,4.648,1.451,1.604,2.435,2.314,0.911
1395,53.37,4.588,1.53,0.3,2.155,4.359,4.818,1.453,1.606,2.497,2.316,0.878
1395.5,53.4,4.531,1.529,0.3,2.155,4.305,4.758,1.453,1.605,2.476,2.315,0.89
1396,53.4,4.755,1.532,0.3,2.155,4.517,4.993,1.455,1.608,2.561,2.317,0.844
1396.5,53.44,4.982,1.534,0.3,2.155,4.733,5.231,1.458,1.611,2.645,2.319,0.799
1397,53.44,4.886,1.533,0.3,2.155,4.642,5.13,1.457,1.61,2.61,2.318,0.818
1397.5,53.46,4.673,1.531,0.3,2.155,4.439,4.906,1.454,1.607,2.529,2.317,0.861
1398,53.46,4.462,1.528,0.3,2.155,4.239,4.685,1.452,1.604,2.449,2.315,0.904
1398.5,53.5,4.353,1.527,0.3,2.155,4.135,4.571,1.45,1.603,2.407,2.314,0.926
1399,53.5,4.26,1.525,0.3,2.155,4.047,4.473,1.449,1.602,2.371,2.313,0.946
1399.5,53.52,4.138,1.523,0.3,2.155,3.931,4.345,1.447,1.6,2.323,2.311,0.971
1400,53.52,5.392,1.082,0.4,1.99,5.123,5.662,1.028,1.136,2.246,2.309,1.012
1400.5,53.56,5.346,1.082,0.4,1.99,5.079,5.613,1.027,1.136,2.235,2.309,1.018
1401,53.56,5.674,1.085,0.4,1.99,5.39,5.957,1.031,1.14,2.316,2.311,0.975
1401.5,53.59,6.145,1.09,0.4,1.99,5.838,6.452,1.036,1.145,2.43,2.314,0.914
1402,53.59,6.302,1.092,0.4,1.99,5.987,6.617,1.037,1.146,2.467,2.315,0.895
1402.5,53.63,5.745,1.086,0.4,1.99,5.457,6.032,1.032,1.14,2.333,2.312,0.966
1403,53.63,5.685,1.085,0.4,1.99,5.401,5.969,1.031,1.14,2.319,2.311,0.974
1403.5,53.66,5.489,1.083,0.4,1.99,5.214,5.763,1.029,1.137,2.27,2.31,0.999
1404,53.66,5.129,1.079,0.4,1.99,4.872,5.385,1.025,1.133,2.18,2.307,1.048
1404.5,53.7,5.335,1.081,0.4,1.99,5.069,5.602,1.027,1.135,2.232,2.309,1.02
1405,53.7,5.839,1.087,0.4,1.99,5.547,6.131,1.033,1.142,2.356,2.312,0.954
1405.5,53.74,5.351,1.082,0.4,1.99,5.084,5.619,1.027,1.136,2.236,2.309,1.018
1406,53.74,4.805,1.074,0.4,1.99,4.565,5.045,1.021,1.128,2.096,2.305,1.092
1406.5,53.79,4.467,1.069,0.4,1.99,4.243,4.69,1.016,1.123,2.006,2.301,1.14
1407,53.79,4.596,1.071,0.4,1.99,4.366,4.825,1.018,1.125,2.041,2.303,1.122
1407.5,53.8,5.197,1.08,0.4,1.99,4.937,5.457,1.026,1.134,2.197,2.308,1.038
1408,53.8,5.772,1.086,0.4,1.99,5.484,6.061,1.032,1.141,2.34,2.312,0.962
1408.5,53.86,6.408,1.093,0.4,1.99,6.088,6.729,1.038,1.147,2.492,2.316,0.881
1409,53.86,6.78,1.096,0.4,1.99,6.441,7.119,1.041,1.151,2.577,2.318,0.836
1409.5,53.9,6.82,1.096,0.4,1.99,6.479,7.162,1.042,1.151,2.586,2.318,0.831
1410,53.9,6.591,1.094,0.4,1.99,6.262,6.921,1.04,1.149,2.534,2.317,0.859
1410.5,53.93,6.157,1.09,0.4,1.99,5.849,6.465,1.036,1.145,2.432,2.314,0.913
1411,53.93,5.77,1.086,0.4,1.99,5.482,6.059,1.032,1.141,2.34,2.312,0.962
1411.5,53.99,6.124,1.09,0.4,1.99,5.817,6.43,1.036,1.145,2.424,2.314,0.917
1412,53.99,6.153,1.09,0.4,1.99,5.845,6.461,1.036,1.145,2.431,2.314,0.913
1412.5,54,5.922,1.088,0.4,1.99,5.626,6.218,1.034,1.142,2.376,2.313,0.943
1413,54,6.026,1.089,0.4,1.99,5.725,6.327,1.035,1.144,2.401,2.313,0.93
1413.5,54.06,6.003,1.089,0.4,1.99,5.703,6.303,1.034,1.143,2.396,2.313,0.932
1414,54.06,6.717,1.096,0.4,1.99,6.382,7.053,1.041,1.15,2.563,2.317,0.843
1414.5,54.09,6.552,1.094,0.4,1.99,6.224,6.88,1.039,1.149,2.525,2.316,0.864
1415,54.09,6.294,1.092,0.4,1.99,5.979,6.608,1.037,1.146,2.465,2.315,0.896
1415.5,54.13,5.98,1.089,0.4,1.99,5.681,6.279,1.034,1.143,2.39,2.313,0.935
1416,54.13,6.229,1.091,0.4,1.99,5.918,6.541,1.037,1.146,2.449,2.315,0.904
1416.5,54.17,6.482,1.093,0.4,1.99,6.158,6.807,1.039,1.148,2.509,2.316,0.872
1417,54.17,6.845,1.097,0.4,1.99,6.503,7.187,1.042,1.151,2.592,2.318,0.828
1417.5,54.2,7.288,1.1,0.4,1.99,6.923,7.652,1.045,1.155,2.691,2.32,0.775
1418,54.2,7.151,1.099,0.4,1.99,6.793,7.509,1.044,1.154,2.661,2.319,0.791
1418.5,54.28,6.732,1.096,0.4,1.99,6.396,7.069,1.041,1.15,2.566,2.317,0.841
1419,54.28,6.429,1.093,0.4,1.99,6.107,6.75,1.038,1.148,2.496,2.316,0.879
1419.5,54.27,6.634,1.095,0.4,1.99,6.303,6.966,1.04,1.15,2.544,2.317,0.853
1420,54.27,7.106,1.099,0.4,1.99,6.751,7.462,1.044,1.154,2.651,2.319,0.796
1420.5,54.32,7.438,1.101,0.4,1.99,7.066,7.81,1.046,1.156,2.725,2.321,0.757
1421,54.32,7.35,1.101,0.4,1.99,6.983,7.718,1.046,1.156,2.705,2.32,0.767
1421.5,54.34,6.828,1.096,0.4,1.99,6.487,7.17,1.042,1.151,2.588,2.318,0.83
1422,54.34,6.403,1.093,0.4,1.99,6.083,6.723,1.038,1.147,2.49,2.316,0.882
1422.5,54.37,6.034,1.089,0.4,1.99,5.733,6.336,1.035,1.144,2.403,2.314,0.928
1423,54.37,6.07,1.09,0.4,1.99,5.767,6.374,1.035,1.144,2.412,2.314,0.924
1423.5,54.41,6.63,1.095,0.4,1.99,6.298,6.961,1.04,1.15,2.543,2.317,0.854
1424,54.41,2.813,2.283,0.02,2.617,2.672,2.953,2.169,2.398,2.727,2.321,0.755
1424.5,54.45,2.929,2.286,0.02,2.617,2.783,3.076,2.171,2.4,2.838,2.323,0.696
1425,54.45,3.045,2.288,0.02,2.617,2.893,3.197,2.173,2.402,2.948,2.325,0.638
1425.5,54.49,3.157,2.289,0.02,2.617,2.999,3.315,2.175,2.404,3.055,2.327,0.581
1426,54.49,3.242,2.291,0.02,2.617,3.08,3.405,2.176,2.405,3.135,2.328,0.538
1426.5,54.53,3.265,2.291,0.02,2.617,3.102,3.428,2.176,2.406,3.157,2.328,0.526
1427,54.53,3.362,2.292,0.02,2.617,3.194,3.53,2.178,2.407,3.249,2.33,0.477
1427.5,54.56,3.371,2.293,0.02,2.617,3.203,3.54,2.178,2.407,3.257,2.33,0.472
1428,54.56,3.445,2.294,0.02,2.617,3.273,3.617,2.179,2.408,3.327,2.331,0.435
1428.5,54.58,3.29,2.291,0.02,2.617,3.126,3.455,2.177,2.406,3.181,2.329,0.513
1429,54.58,3.127,2.289,0.02,2.617,2.971,3.283,2.175,2.403,3.026,2.326,0.596
1429.5,54.62,3.159,2.289,0.02,2.617,3.001,3.317,2.175,2.404,3.056,2.327,0.58
1430,54.62,3.212,2.29,0.02,2.617,3.051,3.373,2.176,2.405,3.106,2.327,0.553
1430.5,54.65,3.352,2.292,0.02,2.617,3.185,3.52,2.178,2.407,3.239,2.329,0.482
1431,54.65,3.498,2.294,0.02,2.617,3.323,3.673,2.179,2.409,3.377,2.331,0.408
1431.5,54.69,3.446,2.294,0.02,2.617,3.274,3.619,2.179,2.408,3.328,2.331,0.435
1432,54.69,3.477,2.294,0.02,2.617,3.303,3.651,2.179,2.409,3.357,2.331,0.419
1432.5,54.72,3.548,2.295,0.02,2.617,3.371,3.725,2.18,2.41,3.425,2.332,0.383
1433,54.72,3.666,2.296,0.02,2.617,3.483,3.849,2.181,2.411,3.536,2.333,0.324
1433.5,54.76,3.658,2.296,0.02,2.617,3.475,3.841,2.181,2.411,3.529,2.333,0.328
1434,54.76,3.499,2.294,0.02,2.617,3.324,3.674,2.18,2.409,3.378,2.331,0.408
1434.5,54.78,3.23,2.291,0.02,2.617,3.068,3.391,2.176,2.405,3.123,2.328,0.544
1435,54.78,3.18,2.29,0.02,2.617,3.021,3.339,2.175,2.404,3.076,2.327,0.569
1435.5,54.82,3.21,2.29,0.02,2.617,3.05,3.371,2.176,2.405,3.105,2.327,0.554
1436,54.82,4.554,1.871,0.2,2.32,4.326,4.781,1.777,1.964,3.04,2.326,0.588
1436.5,54.83,3.965,1.863,0.2,2.32,3.767,4.164,1.77,1.957,2.722,2.321,0.758
1437,54.83,3.356,1.854,0.2,2.32,3.188,3.523,1.761,1.946,2.381,2.313,0.94
1437.5,54.88,3.248,1.852,0.2,2.32,3.086,3.411,1.759,1.944,2.32,2.311,0.973
1438,54.88,3.033,1.847,0.2,2.32,2.881,3.185,1.755,1.94,2.196,2.308,1.039
1438.5,54.91,3.134,1.849,0.2,2.32,2.977,3.29,1.757,1.942,2.255,2.309,1.008
1439,54.91,3.207,1.851,0.2,2.32,3.046,3.367,1.758,1.943,2.296,2.311,0.985
1439.5,54.95,3.291,1.852,0.2,2.32,3.127,3.456,1.76,1.945,2.345,2.312,0.96
1440,54.95,3.236,1.851,0.2,2.32,3.074,3.398,1.759,1.944,2.313,2.311,0.977
1440.5,55,3.043,1.847,0.2,2.32,2.891,3.195,1.755,1.94,2.202,2.308,1.036
1441,55,2.927,1.845,0.2,2.32,2.781,3.074,1.753,1.937,2.135,2.306,1.072
1441.5,55.02,2.933,1.845,0.2,2.32,2.786,3.08,1.753,1.937,2.138,2.306,1.07
1442,55.02,2.846,1.843,0.2,2.32,2.703,2.988,1.751,1.935,2.087,2.304,1.097
1442.5,55.05,2.95,1.845,0.2,2.32,2.803,3.098,1.753,1.938,2.148,2.306,1.065
1443,55.05,2.795,1.842,0.2,2.32,2.655,2.935,1.749,1.934,2.057,2.303,1.113
1443.5,55.13,2.783,1.841,0.2,2.32,2.643,2.922,1.749,1.933,2.05,2.303,1.117
1444,55.13,2.937,1.845,0.2,2.32,2.79,3.084,1.753,1.937,2.141,2.306,1.069
1444.5,55.16,2.818,1.842,0.2,2.32,2.677,2.958,1.75,1.934,2.071,2.304,1.106
1445,55.16,2.807,1.842,0.2,2.32,2.667,2.947,1.75,1.934,2.064,2.304,1.109
1445.5,55.19,3.232,1.851,0.2,2.32,3.071,3.394,1.759,1.944,2.311,2.311,0.978
1446,55.19,4.928,1.534,0.3,2.155,4.681,5.174,1.457,1.611,2.625,2.319,0.81
1446.5,55.24,5.639,1.541,0.3,2.155,5.357,5.921,1.464,1.618,2.885,2.324,0.671
1447,55.24,5.948,1.544,0.3,2.155,5.65,6.245,1.467,1.621,2.995,2.326,0.613
1447.5,55.27,5.917,1.544,0.3,2.155,5.621,6.212,1.466,1.621,2.984,2.325,0.619
1448,55.27,5.917,1.544,0.3,2.155,5.621,6.212,1.466,1.621,2.984,2.325,0.619
1448.5,55.29,5.825,1.543,0.3,2.155,5.534,6.117,1.466,1.62,2.951,2.325,0.636
1449,55.29,5.672,1.541,0.3,2.155,5.388,5.956,1.464,1.619,2.897,2.324,0.665
1449.5,55.33,5.52,1.54,0.3,2.155,5.244,5.796,1.463,1.617,2.842,2.323,0.694
1450,55.33,5.369,1.539,0.3,2.155,5.101,5.638,1.462,1.615,2.788,2.322,0.723
1450.5,55.35,5.22,1.537,0.3,2.155,4.959,5.481,1.46,1.614,2.733,2.321,0.752
1451,55.35,6.334,1.547,0.3,2.155,6.018,6.651,1.47,1.624,3.13,2.328,0.541
1451.5,55.38,6.232,1.546,0.3,2.155,5.921,6.544,1.469,1.623,3.094,2.327,0.559
1452,55.38,6.578,1.549,0.3,2.155,6.249,6.907,1.471,1.626,3.213,2.329,0.496
1452.5,55.42,6.74,1.55,0.3,2.155,6.403,7.077,1.472,1.627,3.269,2.33,0.466
1453,55.42,6.651,1.549,0.3,2.155,6.318,6.983,1.472,1.627,3.238,2.329,0.483
1453.5,55.42,6.381,1.547,0.3,2.155,6.062,6.701,1.47,1.625,3.146,2.328,0.532
1454,55.42,6.159,1.546,0.3,2.155,5.851,6.467,1.468,1.623,3.069,2.327,0.573
1454.5,55.47,5.961,1.544,0.3,2.155,5.663,6.259,1.467,1.621,2.999,2.326,0.61
1455,55.47,5.195,1.537,0.3,2.155,4.936,5.455,1.46,1.614,2.724,2.321,0.757
1455.5,55.48,5.164,1.536,0.3,2.155,4.906,5.423,1.46,1.613,2.713,2.321,0.763
1456,55.48,5.365,1.539,0.3,2.155,5.097,5.633,1.462,1.615,2.786,2.322,0.724
1456.5,55.5,5.812,1.543,0.3,2.155,5.521,6.103,1.466,1.62,2.947,2.325,0.638
1457,55.5,6.246,1.546,0.3,2.155,5.933,6.558,1.469,1.624,3.099,2.327,0.557
1457.5,55.51,6.642,1.549,0.3,2.155,6.31,6.974,1.472,1.627,3.235,2.329,0.484
1458,55.51,6.902,1.551,0.3,2.155,6.557,7.247,1.473,1.628,3.323,2.331,0.437
1458.5,55.53,7.115,1.552,0.3,2.155,6.759,7.471,1.475,1.63,3.395,2.332,0.399
1459,55.53,7.246,1.553,0.3,2.155,6.884,7.608,1.475,1.631,3.439,2.332,0.376
1459.5,55.55,7.211,1.553,0.3,2.155,6.851,7.572,1.475,1.63,3.427,2.332,0.382
1460,55.55,6.699,1.55,0.3,2.155,6.364,7.033,1.472,1.627,3.255,2.33,0.474
1460.5,55.57,6.198,1.546,0.3,2.155,5.888,6.507,1.469,1.623,3.082,2.327,0.566
1461,55.57,6.133,1.545,0.3,2.155,5.827,6.44,1.468,1.623,3.06,2.327,0.578
1461.5,55.6,6.156,1.546,0.3,2.155,5.849,6.464,1.468,1.623,3.068,2.327,0.574
1462,55.6,6.078,1.545,0.3,2.155,5.774,6.382,1.468,1.622,3.041,2.326,0.588
1462.5,55.63,6.078,1.545,0.3,2.155,5.774,6.382,1.468,1.622,3.04,2.326,0.588
1463,55.63,6.765,1.55,0.3,2.155,6.427,7.104,1.472,1.627,3.277,2.33,0.462
1463.5,55.65,6.873,1.551,0.3,2.155,6.529,7.217,1.473,1.628,3.314,2.33,0.442
1464,55.65,6.751,1.55,0.3,2.155,6.414,7.089,1.472,1.627,3.272,2.33,0.464
1464.5,55.67,6.676,1.549,0.3,2.155,6.343,7.01,1.472,1.627,3.247,2.33,0.478
1465,55.67,7.022,1.552,0.3,2.155,6.671,7.373,1.474,1.629,3.364,2.331,0.416
1465.5,55.69,7.346,1.554,0.3,2.155,6.978,7.713,1.476,1.631,3.472,2.333,0.358
1466,55.69,7.151,1.552,0.3,2.155,6.793,7.508,1.475,1.63,3.407,2.332,0.393
1466.5,55.71,7.009,1.552,0.3,2.155,6.658,7.359,1.474,1.629,3.359,2.331,0.418
1467,55.71,6.032,1.545,0.3,2.155,5.731,6.334,1.467,1.622,3.024,2.326,0.597
1467.5,55.71,4.866,1.533,0.3,2.155,4.623,5.109,1.456,1.61,2.602,2.318,0.822
1468,55.71,3.559,1.513,0.3,2.155,3.381,3.737,1.438,1.589,2.09,2.304,1.095
1468.5,55.74,2.761,1.494,0.3,2.155,2.623,2.899,1.419,1.569,1.75,2.291,1.277
1469,55.74,3.118,1.504,0.3,2.155,2.962,3.274,1.429,1.579,1.906,2.298,1.194
1469.5,55.77,3.412,1.51,0.3,2.155,3.241,3.583,1.435,1.586,2.03,2.302,1.128
1470,55.77,3.558,1.513,0.3,2.155,3.38,3.736,1.438,1.589,2.09,2.304,1.096
1470.5,55.8,3.046,1.502,0.3,2.155,2.894,3.199,1.427,1.577,1.875,2.296,1.211
1471,55.8,2.751,1.494,0.3,2.155,2.613,2.888,1.419,1.568,1.746,2.291,1.28
1471.5,55.83,3.097,1.503,0.3,2.155,2.942,3.252,1.428,1.578,1.897,2.297,1.199
1472,55.83,3.867,1.519,0.3,2.155,3.673,4.06,1.443,1.595,2.215,2.308,1.029
1472.5,55.85,4.178,1.524,0.3,2.155,3.97,4.387,1.448,1.6,2.339,2.312,0.963
1473,55.85,4.497,1.529,0.3,2.155,4.272,4.722,1.452,1.605,2.463,2.315,0.897
1473.5,55.89,4.763,1.532,0.3,2.155,4.525,5.001,1.455,1.609,2.563,2.317,0.843
1474,55.89,4.205,1.524,0.3,2.155,3.995,4.415,1.448,1.601,2.349,2.312,0.957
1474.5,55.92,3.757,1.517,0.3,2.155,3.569,3.945,1.441,1.593,2.171,2.307,1.052
1475,55.92,3.959,1.521,0.3,2.155,3.761,4.157,1.445,1.597,2.252,2.309,1.009
1475.5,55.95,4.408,1.527,0.3,2.155,4.187,4.628,1.451,1.604,2.428,2.314,0.915
1476,55.95,4.871,1.533,0.3,2.155,4.628,5.115,1.457,1.61,2.604,2.318,0.821
1476.5,55.98,5.348,1.538,0.3,2.155,5.08,5.615,1.461,1.615,2.78,2.322,0.727
1477,55.98,5.308,1.538,0.3,2.155,5.043,5.574,1.461,1.615,2.766,2.322,0.735
1477.5,56.01,5.218,1.537,0.3,2.155,4.957,5.479,1.46,1.614,2.732,2.321,0.753
1478,56.01,5.754,1.542,0.3,2.155,5.466,6.042,1.465,1.619,2.926,2.325,0.649
1478.5,56.03,6.306,1.547,0.3,2.155,5.991,6.621,1.469,1.624,3.12,2.328,0.546
